1264,3347254,19156414,4580603,4857143,25531912,4678101,757085,70625997,25095788,3155985,43581086,16521959,0
16333333,39278975,17750439,14743566,5333333,41641334,12858874,7408906,75922954,34865904,8665212,29391894,26313823,1
91466665,20385419,47100174,30434052,33809525,34954405,2762407,63562757,4815409,11494253,2375236,3277027,24414413,0
9946667,22370374,36203867,21807342,41904762,29787233,19764141,63562757,4574639,4214559,18034199,3277027,71969717,0
11573333,2795542,2056239,5353036,46666667,33738598,48482683,70445335,57303375,9003832,24632076,3277027,2195501,1
7546667,12453143,5887522,1223518,26666668,34650454,11413202,60323876,4141252,53639844,16348074,35135138,26821299,0
7693333,2642079,43233743,2240928,29523808,44376895,2151829,8299595,5313002,10536398,49740667,3783784,15315777,0
95466666,3057687,28295255,11784726,3142857,37386018,9911307,78947365,6292135,197318,10234041,26689193,12114814,0
7853334,24991824,29876977,3836008,33809525,43768996,33748595,8137651,47351518,8812261,28554148,30067572,14829083,0
10146666,25988075,2741652,25129025,3857143,4285714,1989158,73279345,4622793,9195402,18400748,21959464,19476112,0
109066665,25384286,27592266,41522086,39999998,33738598,38051503,7206477,5056179,9578544,2609827,33783787,15549055,0
8066667,2370374,43057996,16655687,2904762,38905773,15498715,8218623,48635635,9003832,19573704,35135138,1011681,0
9053333,23567888,39718804,29203917,33809525,35562307,29228292,8097166,5794543,13793105,43106135,41554058,9538287,0
8293334,21565323,30052724,14903452,36190477,4468085,12683835,74898785,50240767,5555556,13195756,27364865,11763608,0
9506667,24023245,2442882,14765837,40952381,36170208,12826265,708502,4526485,8237548,11363012,29054055,7821891,0
10213333,3297693,25834796,45747203,32380953,37386018,4045408,74898785,6179775,27586207,37864486,30743244,29764013,1
964,3099449,2460457,57690344,36190477,41337383,489662,785425,6195827,17624524,67005116,27364865,18254947,1
7813333,19499862,4674868,14730119,26666668,4255319,13624626,8097166,529695,8237548,2023349,3445946,138623025,0
79333335,2430753,2618629,12747825,32857144,38297868,10787256,65587044,49759224,59386976,10703224,27027032,63613285,0
756,25540265,32337433,39461004,2857143,4893617,3316013,78947365,540931,13984674,515001,26351354,2864837,0
