43083003,7416667,0,0,34220546,6.72E+03,27329193,8.56E+03,90111025,79416536,61119296,1309431,73134327,14117654,87286526,123711355,50813884,8318493,0
33596838,73333335,0,0,38022805,7.26E+03,32298137,5.41E+02,9579138,8508914,6848307,1348402,72947764,23529414,85958254,12739322,46332908,8369865,0
8853755,97083336,0,0,115969576,22134436,67080736,10965897,85463464,7536467,61855678,12003117,73694026,38823534,82732445,11340206,48014903,84478235,0
18181819,92083335,0,0,43726236,12650981,22360247,6.45E+02,8856184,80226906,5964654,12704597,7481343,14117654,85578746,12002946,50096595,8258891,0
37944663,7291667,0,0,3992397,6.97E+03,26086964,7.25E+03,10870127,101296596,7805596,1480904,7481343,10588235,86148,13991164,44266057,8239236,0
6166008,875,0,0,3612167,6.52E+03,2732919,4.48E+03,8443067,74554294,5375553,12626655,73880595,47058845,88045543,11929308,5491797,8261886,0
24110672,8875,0,0,32319393,10925954,52173913,1177926,10198813,96434355,75846836,1348402,76305974,3058824,81404173,12739322,40896538,8233422,0
1027668,9875,3333333,0,5513308,6.52E+03,7080745,12424181,10663568,10777958,8541974,12782541,8078358,5529412,7286528,12076583,31222734,81046945,0
16996047,925,0,0,7604562,2164412,4720496,9.58E+02,10095533,9157212,7511046,13717848,73694026,31764705,83870965,12960236,42217422,83848727,0
6324111,90833336,0,0,72243355,20017077,54658387,11647644,9553318,81847645,736377,13172252,70895517,4941177,83870965,124447726,4398524,86358523,0
12252964,95416665,0,0,4372623,15536698,5093167,12299477,8468887,713128,61855678,121590026,7145522,4235294,8444022,114874825,47067475,85417736,0
21343873,825,3333333,0,62737636,13061074,31055897,7.20E+02,8727085,7536467,6848307,11847233,72388065,62352948,80265653,11192931,40790388,8634704,0
541502,8,0,0,5703423,16602952,5093168,13551837,7849213,6401945,5375553,11847233,70895517,31764705,86717266,11192931,53894526,8501284,0
35177866,7416667,0,0,3041825,7.86E+02,2360248,5.97E+03,8985283,7617504,6259205,13172252,7108209,22352947,88045543,124447726,49709514,84438777,0
9644269,9458333,3333333,0,57034217,25597904,5217391,17603328,62225666,4619125,43446243,97427905,7033582,5647059,83301705,9204713,59701496,86797667,0
22529644,85833335,0,0,47528517,10717155,37267074,9.74E+03,8313969,713128,5964654,11925175,7257462,38823534,83870965,11266569,48659843,84792835,0
5731225,7916667,0,0,2091254,3.30E+03,2360248,5.77E+02,7436097,6320908,46391755,114575215,73320895,1529412,8690702,10824743,5708515,83157915,0
7114624,72083336,0,0,19011406,3.47E+03,18633539,4.50E+03,99147946,8995137,7290132,13561964,73880595,29411765,84060717,12812962,43115196,83638656,0
9644269,6875,0,0,34220554,5.21E+02,22360247,4.02E+03,1288407,110210694,11266569,16367888,6641791,8470588,82732445,15463918,35206997,9025901,0
8972332,7125,3333333,0,3041824,6.94E+02,17391296,4.73E+03,1169636,10615883,8468336,16134061,7220149,47058845,89753324,15243004,44435817,8327818,0
31225297,8,0,0,47528513,7.49E+02,43478254,11009738,8649626,7293355,5964654,12782541,7126866,23529414,87666035,12076583,5144446,8445886,0
7233202,775,0,0,10456274,32823784,10186334,19808006,8339789,6482983,6332842,122369446,6791045,5529412,85958254,115611196,51518697,87438947,0
3320158,8833333,3333333,0,60836498,10557852,4347826,10904215,102762714,923825,76583214,14029618,72947764,3058824,84819734,13254787,42312294,8411954,0
6363636,94166666,3333333,0,7794677,11529677,59627328,18500064,9217661,79416536,66273935,13172252,7164179,29411765,86337763,124447726,47282594,84519845,0
45454547,975,0,0,77946775,11724002,5093167,1079766,11412343,9886547,9499264,14886983,6921641,67058824,82732445,140648,38490298,8800619,0
16996047,73333335,0,0,4942967,3.47E+03,18633543,7.41E+02,10611929,96434355,8468336,13795792,73320895,5411765,80645156,13033874,35552603,85327375,0
8458498,8666667,0,0,8745247,22564107,72049685,17971684,9217661,7536467,6774669,13406079,6884328,36470592,88045543,12665685,49459508,8612678,0
78656125,99583334,0,0,7794677,14326103,32298137,7.40E+02,64291246,47811992,48600886,9664848,69962686,7176471,8121442,91310754,5633903,8792032,0
4466403,9458333,0,0,5703423,1144773,32298137,7.70E+02,95016785,81037275,706922,13406079,7070896,37647057,85958254,12665685,46145898,8546503,0
11462451,10,0,0,8365017,18973993,17888197,1158125,14407437,15640195,11782033,15978177,8731343,4,686907,1509573,23141664,7271254,0
